hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
12,0,0,22.64,23.24,29.3,22.26,245.03,54.07,4.04,0.0,23.86
13,0,0,35.63,22.64,23.24,29.3,309.21,27.95,9.04,0.0,39.34
13,0,0,23.86,35.63,22.64,23.24,329.71,49.72,3.0,0.0,26.0
13,0,0,39.34,23.86,35.63,22.64,294.43,17.23,4.98,0.0,24.78
13,0,0,26.0,39.34,23.86,35.63,284.39,31.83,7.84,0.0,22.9
14,0,0,24.78,26.0,39.34,23.86,128.21,24.56,5.06,0.0,26.32
14,0,0,22.9,24.78,26.0,39.34,233.42,40.41,4.06,0.0,23.16
14,0,0,26.32,22.9,24.78,26.0,318.25,26.24,6.29,0.0,28.1
14,0,0,23.16,26.32,22.9,24.78,305.29,18.2,6.31,0.0,22.42
15,0,0,28.1,23.16,26.32,22.9,123.85,15.8,5.94,0.0,29.12
15,0,0,22.42,28.1,23.16,26.32,309.4,33.3,5.04,0.0,23.88
15,0,0,29.12,22.42,28.1,23.16,126.15,18.01,5.98,0.0,25.0
15,0,0,23.88,29.12,22.42,28.1,144.78,49.44,7.24,0.0,24.4
16,0,0,25.0,23.88,29.12,22.42,266.49,39.04,4.63,0.0,26.04
16,0,0,24.4,25.0,23.88,29.12,248.26,38.52,6.63,0.0,23.18
16,0,0,26.04,24.4,25.0,23.88,78.4,54.7,4.67,0.0,23.58
16,0,0,23.18,26.04,24.4,25.0,222.75,30.99,3.98,0.0,26.74
17,0,0,23.58,23.18,26.04,24.4,269.09,28.89,3.41,0.0,29.29
17,0,0,26.74,23.58,23.18,26.04,243.05,6.54,6.2,0.0,26.54
17,0,0,29.29,26.74,23.58,23.18,340.96,46.07,6.88,0.0,23.24
17,0,0,26.54,29.29,26.74,23.58,329.27,29.27,5.33,0.0,23.34
18,0,0,23.24,26.54,29.29,26.74,358.39,54.58,3.43,0.0,20.28
18,0,0,23.34,23.24,26.54,29.29,155.18,19.82,5.8,0.0,25.82
18,0,0,20.28,23.34,23.24,26.54,397.12,21.69,2.98,0.0,37.98
18,0,0,25.82,20.28,23.34,23.24,299.52,23.8,5.65,0.0,29.82
19,0,0,37.98,25.82,20.28,23.34,273.92,34.08,6.52,0.0,24.38
19,0,0,29.82,37.98,25.82,20.28,266.96,14.81,4.49,0.0,24.04
19,0,0,24.38,29.82,37.98,25.82,150.49,44.06,3.76,0.0,25.64
19,0,0,24.04,24.38,29.82,37.98,246.96,51.32,4.61,0.0,23.24
20,0,0,25.64,24.04,24.38,29.82,266.96,37.26,4.65,0.0,23.18
20,0,0,23.24,25.64,24.04,24.38,312.33,37.59,3.76,0.0,26.84
20,0,0,23.18,23.24,25.64,24.04,317.63,27.08,3.53,0.0,24.4
20,0,0,26.84,23.18,23.24,25.64,161.7,11.29,5.18,0.0,23.36
21,0,0,24.4,26.84,23.18,23.24,314.13,52.69,4.53,0.0,30.82
21,0,0,23.36,24.4,26.84,23.18,126.62,41.33,3.82,0.0,24.88
21,0,0,30.82,23.36,24.4,26.84,97.53,22.87,6.24,0.0,23.4
21,0,0,24.88,30.82,23.36,24.4,246.28,39.65,6.33,0.0,23.84
22,0,0,23.4,24.88,30.82,23.36,130.12,40.13,3.94,0.0,21.84
22,0,0,23.84,23.4,24.88,30.82,293.85,31.83,4.22,0.0,20.8
22,0,0,21.84,23.84,23.4,24.88,275.97,56.01,5.27,0.0,24.52
22,0,0,20.8,21.84,23.84,23.4,147.21,32.05,3.57,0.0,22.8
23,0,0,24.52,20.8,21.84,23.84,229.79,31.49,4.59,0.0,21.02
23,0,0,22.8,24.52,20.8,21.84,338.94,30.7,3.73,0.0,22.22
23,0,0,21.02,22.8,24.52,20.8,207.42,49.44,3.86,0.0,23.5
23,0,0,22.22,21.02,22.8,24.52,305.47,57.29,3.29,0.0,21.34
0,1,0,23.5,22.22,21.02,22.8,295.82,40.99,4.12,0.0,22.62
0,1,0,21.34,23.5,22.22,21.02,107.91,55.91,4.29,0.0,23.12
0,1,0,22.62,21.34,23.5,22.22,147.08,35.13,4.84,0.0,26.56
0,1,0,23.12,22.62,21.34,23.5,223.43,35.07,3.63,0.0,19.9
1,1,0,26.56,23.12,22.62,21.34,217.92,37.24,4.57,0.0,19.94
1,1,0,19.9,26.56,23.12,22.62,268.32,36.2,2.71,0.0,23.46
1,1,0,19.94,19.9,26.56,23.12,324.56,35.19,2.43,0.0,20.37
1,1,0,23.46,19.94,19.9,26.56,163.14,37.5,3.94,0.0,21.52
2,1,0,20.37,23.46,19.94,19.9,223.52,41.03,3.12,0.0,34.37
2,1,0,21.52,20.37,23.46,19.94,136.63,34.88,4.37,0.0,21.7
2,1,0,34.37,21.52,20.37,23.46,311.32,39.62,6.4,0.0,31.82
2,1,0,21.7,34.37,21.52,20.37,68.42,34.01,3.43,0.0,31.4
3,1,0,31.82,21.7,34.37,21.52,222.57,45.94,9.39,0.0,28.46
3,1,0,31.4,31.82,21.7,34.37,244.55,51.84,5.78,0.0,24.08
3,1,0,28.46,31.4,31.82,21.7,309.35,47.25,5.88,0.0,28.4
3,1,0,24.08,28.46,31.4,31.82,349.81,34.6,3.39,0.0,25.96
4,1,0,28.4,24.08,28.46,31.4,318.66,8.66,6.94,0.0,36.58
4,1,0,25.96,28.4,24.08,28.46,205.17,37.8,6.22,0.0,25.26
4,1,0,36.58,25.96,28.4,24.08,170.77,19.86,13.1,0.0,56.58
4,1,0,25.26,36.58,25.96,28.4,178.86,36.0,4.84,0.0,25.26
5,1,0,56.58,25.26,36.58,25.96,221.9,26.65,23.61,0.0,38.64
5,1,0,25.26,56.58,25.26,36.58,363.53,44.06,3.8,0.0,30.86
5,1,0,38.64,25.26,56.58,25.26,284.19,5.8,8.47,0.0,27.96
5,1,0,30.86,38.64,25.26,56.58,288.01,36.5,7.57,0.0,23.62
6,1,0,27.96,30.86,38.64,25.26,246.06,32.08,6.45,0.0,24.52
6,1,0,23.62,27.96,30.86,38.64,343.9,42.23,3.24,0.0,26.48
6,1,0,24.52,23.62,27.96,30.86,204.82,11.03,5.9,0.0,21.24
6,1,0,26.48,24.52,23.62,27.96,211.66,23.57,5.14,0.0,26.52
7,1,0,21.24,26.48,24.52,23.62,293.34,42.35,3.08,0.0,32.64
7,1,0,26.52,21.24,26.48,24.52,290.27,47.23,4.14,0.0,25.64
7,1,0,32.64,26.52,21.24,26.48,291.9,28.63,9.88,0.0,25.64
7,1,0,25.64,32.64,26.52,21.24,336.12,40.02,6.08,0.0,26.78
8,1,0,25.64,25.64,32.64,26.52,302.08,28.75,5.57,3.0,28.06
8,1,0,26.78,25.64,25.64,32.64,334.12,11.87,5.94,0.0,31.32
8,1,0,28.06,26.78,25.64,25.64,160.81,24.36,3.53,0.0,26.3
8,1,0,31.32,28.06,26.78,25.64,353.08,35.46,3.65,0.0,25.72
9,1,0,26.3,31.32,28.06,26.78,340.05,6.2,3.78,0.0,36.16
9,1,0,25.72,26.3,31.32,28.06,289.23,35.89,5.61,0.0,26.38
9,1,0,36.16,25.72,26.3,31.32,247.2,32.72,7.67,0.0,24.38
9,1,0,26.38,36.16,25.72,26.3,261.32,16.52,4.96,0.0,28.38
10,1,0,24.38,26.38,36.16,25.72,299.9,48.54,4.1,0.0,22.88
10,1,0,28.38,24.38,26.38,36.16,353.88,25.85,7.37,0.0,31.14
10,1,0,22.88,28.38,24.38,26.38,281.06,27.63,4.31,0.0,27.86
10,1,0,31.14,22.88,28.38,24.38,278.65,35.07,7.31,0.0,26.18
11,1,0,27.86,31.14,22.88,28.38,275.43,31.65,5.61,0.0,29.64
11,1,0,26.18,27.86,31.14,22.88,252.29,20.59,2.65,0.0,26.32
11,1,0,29.64,26.18,27.86,31.14,274.54,16.99,7.45,0.0,28.22
11,1,0,26.32,29.64,26.18,27.86,330.5,51.8,6.27,0.0,22.84
12,1,0,28.22,26.32,29.64,26.18,337.11,36.44,4.2,0.0,25.98
12,1,0,22.84,28.22,26.32,29.64,221.08,46.79,3.96,0.0,51.74
12,1,0,25.98,22.84,28.22,26.32,224.78,47.29,4.8,0.0,25.44
12,1,0,51.74,25.98,22.84,28.22,121.54,45.17,9.12,0.0,27.46
13,1,0,25.44,51.74,25.98,22.84,155.35,30.0,4.35,0.0,23.72
13,1,0,27.46,25.44,51.74,25.98,104.42,28.75,4.45,0.0,27.54
13,1,0,23.72,27.46,25.44,51.74,241.6,25.62,2.9,0.0,25.88
13,1,0,27.54,23.72,27.46,25.44,360.03,41.54,6.12,0.0,25.48
14,1,0,25.88,27.54,23.72,27.46,242.37,14.26,5.45,0.0,26.12
14,1,0,25.48,25.88,27.54,23.72,263.26,39.49,3.59,0.0,27.34
14,1,0,26.12,25.48,25.88,27.54,167.45,43.98,4.14,0.0,26.24
14,1,0,27.34,26.12,25.48,25.88,287.49,18.86,5.47,0.0,26.16
15,1,0,26.24,27.34,26.12,25.48,291.58,22.07,4.67,0.0,25.7
15,1,0,26.16,26.24,27.34,26.12,346.31,54.4,4.22,0.0,34.78
15,1,0,25.7,26.16,26.24,27.34,157.26,37.18,5.71,0.0,23.66
15,1,0,34.78,25.7,26.16,26.24,302.12,25.18,4.59,0.0,25.94
16,1,0,23.66,34.78,25.7,26.16,240.79,36.74,3.53,0.0,30.92
16,1,0,25.94,23.66,34.78,25.7,78.64,33.34,4.53,0.0,27.5
16,1,0,30.92,25.94,23.66,34.78,326.39,30.79,4.04,0.0,23.18
16,1,0,27.5,30.92,25.94,23.66,219.65,25.69,5.45,0.0,24.84
17,1,0,23.18,27.5,30.92,25.94,299.85,37.61,4.37,0.0,29.94
17,1,0,24.84,23.18,27.5,30.92,338.9,42.0,6.55,0.0,27.04
17,1,0,29.94,24.84,23.18,27.5,382.53,55.19,5.2,0.0,28.48
17,1,0,27.04,29.94,24.84,23.18,283.83,24.75,4.41,0.0,28.02
18,1,0,28.48,27.04,29.94,24.84,383.88,40.43,4.67,0.0,40.1
18,1,0,28.02,28.48,27.04,29.94,257.43,38.35,6.29,0.0,26.24
18,1,0,40.1,28.02,28.48,27.04,268.82,25.55,12.65,0.0,25.76
18,1,0,26.24,40.1,28.02,28.48,302.14,43.24,5.33,0.0,25.38
19,1,0,25.76,26.24,40.1,28.02,243.63,42.05,6.31,1.0,25.6
19,1,0,25.38,25.76,26.24,40.1,128.23,51.85,4.22,1.0,23.54
19,1,0,25.6,25.38,25.76,26.24,225.4,18.58,9.08,1.0,45.62
19,1,0,23.54,25.6,25.38,25.76,337.24,55.16,4.63,1.0,27.46
20,1,0,45.62,23.54,25.6,25.38,304.68,44.59,7.59,0.0,29.6
20,1,0,27.46,45.62,23.54,25.6,254.31,27.12,6.69,0.0,25.18
20,1,0,29.6,27.46,45.62,23.54,114.19,33.13,4.8,0.0,25.66
20,1,0,25.18,29.6,27.46,45.62,346.92,34.95,3.02,0.0,24.4
21,1,0,25.66,25.18,29.6,27.46,80.42,36.88,3.1,0.0,25.68
21,1,0,24.4,25.66,25.18,29.6,324.54,51.08,2.47,0.0,24.3
21,1,0,25.68,24.4,25.66,25.18,158.63,34.38,7.33,0.0,25.14
21,1,0,24.3,25.68,24.4,25.66,263.87,35.09,4.57,0.0,25.48
22,1,0,25.14,24.3,25.68,24.4,249.99,23.39,6.22,2.0,24.58
22,1,0,25.48,25.14,24.3,25.68,305.67,29.81,3.96,2.0,27.44
22,1,0,24.58,25.48,25.14,24.3,148.63,40.0,4.63,2.0,25.38
22,1,0,27.44,24.58,25.48,25.14,66.16,24.84,7.98,2.0,31.62
23,1,0,25.38,27.44,24.58,25.48,144.77,32.8,4.02,3.0,26.48
23,1,0,31.62,25.38,27.44,24.58,146.8,43.19,4.41,3.0,28.54
23,1,0,26.48,31.62,25.38,27.44,325.13,33.83,5.41,3.0,23.32
23,1,0,28.54,26.48,31.62,25.38,283.47,50.44,5.2,3.0,23.04
0,2,0,23.32,28.54,26.48,31.62,115.79,34.58,2.59,3.0,50.32
0,2,0,23.04,23.32,28.54,26.48,243.76,20.75,2.73,3.0,23.92
0,2,0,50.32,23.04,23.32,28.54,87.76,25.47,7.18,3.0,26.82
0,2,0,23.92,50.32,23.04,23.32,166.32,42.65,3.61,3.0,25.7
1,2,0,26.82,23.92,50.32,23.04,326.37,42.94,6.63,3.0,25.42
