timestamp,network_type,ping_target,ping_avg_rtt_ms,ping_jitter_ms,packet_loss_percent,speedtest_ping_ms,download_mbps,upload_mbps,speedtest_server_name,speedtest_server_location,temperature_C,humidity_percent,wind_speed_mps,precipitation_mm,weather_code
2026-04-20T11:52:02,Awaser,1.1.1.1,20.42,4.24,0,3.94,94.96,24.68,OmanTel,Seeb,30.2,51,2.94,0.0,0
2026-04-20T11:53:53,Awaser,1.1.1.1,3.1,0.43,0,2.73,94.16,8.77,Awasr,Muscat,30.2,51,2.94,0.0,0
2026-04-20T12:00:02,Awaser,1.1.1.1,4.22,0.43,0,2.28,94.68,-73786976294838.2,Awasr,Muscat,30.1,52,3.03,0.0,0
2026-04-20T12:15:03,Awaser,1.1.1.1,4.28,0.41,0,2.73,94.35,24.45,Awasr,Muscat,30.1,52,3.14,0.0,0
2026-04-20T12:30:02,Awaser,1.1.1.1,4.22,0.43,0,2.46,94.5,17.31,Awasr,Muscat,30.1,51,3.33,0.0,0
2026-04-20T12:45:03,Awaser,1.1.1.1,4.68,0.45,0,3.11,94.78,11.83,Awasr,Muscat,30.1,51,3.39,0.0,0
2026-04-20T13:00:02,Awaser,1.1.1.1,4.42,0.51,0,3.21,94.41,12.46,Awasr,Muscat,30.1,50,3.44,0.0,0
2026-04-20T13:15:02,Awaser,1.1.1.1,4.32,0.47,0,2.67,94.27,14.24,Awasr,Muscat,30.1,50,3.56,0.0,0
2026-04-20T13:30:02,Awaser,1.1.1.1,4.38,0.59,0,2.91,92.72,14.05,Awasr,Muscat,30.1,51,3.69,0.0,0
2026-04-20T13:45:02,Awaser,1.1.1.1,4.66,0.86,0,3.07,94.64,13.01,Awasr,Muscat,30.0,52,3.89,0.0,0
2026-04-20T14:00:02,Awaser,1.1.1.1,3.42,0.16,0,2.87,94.69,14.83,Awasr,Muscat,30.0,50,3.97,0.0,0
2026-04-20T14:15:02,Awaser,1.1.1.1,4.44,0.45,0,2.87,86.38,12.75,Awasr,Muscat,30.4,50,4.44,0.0,0
2026-04-20T14:30:02,Awaser,1.1.1.1,4.3,0.63,0,3.07,87.5,16.03,Awasr,Muscat,30.4,49,4.42,0.0,0
2026-04-20T14:45:02,Awaser,1.1.1.1,5.2,1.71,0,2.94,93.66,15.12,Awasr,Muscat,30.5,48,4.39,0.0,0
2026-04-20T15:00:02,Awaser,1.1.1.1,4.28,1.71,0,2.32,93.64,7.49,Awasr,Muscat,30.6,47,4.42,0.0,0
2026-04-20T15:15:02,Awaser,1.1.1.1,3.72,0.63,0,2.35,94.14,18.81,Awasr,Muscat,30.7,46,4.47,0.0,0
2026-04-20T15:30:02,Awaser,1.1.1.1,3.66,1.71,0,2.19,81.46,8.51,Awasr,Muscat,30.7,45,4.42,0.0,0
2026-04-20T15:45:02,Awaser,1.1.1.1,4.28,2.0,0,2.48,46.84,11.43,Awasr,Muscat,30.8,45,4.47,0.0,0
2026-04-20T16:00:02,Awaser,1.1.1.1,5.2,1.8,0,3.15,94.71,9.16,Awasr,Muscat,30.9,44,4.44,0.0,0
2026-04-20T16:15:02,Awaser,1.1.1.1,2.94,0.35,0,2.54,94.76,14.73,Awasr,Muscat,30.9,44,4.33,0.0,0
2026-04-20T16:30:02,Awaser,1.1.1.1,2.92,0.16,0,3.02,93.69,6.6,Awasr,Muscat,31.0,44,4.06,0.0,0
2026-04-20T16:45:02,Awaser,1.1.1.1,3.06,0.27,0,2.56,91.19,20.41,Awasr,Muscat,31.0,44,3.83,0.0,0
2026-04-20T17:00:02,Awaser,1.1.1.1,4.34,0.55,0,2.97,94.02,11.57,Awasr,Muscat,31.1,44,3.64,0.0,0
2026-04-20T17:15:02,Awaser,1.1.1.1,3.66,1.06,0,4.78,80.55,26.17,OmanTel,Seeb,31.0,45,3.36,0.0,0
2026-04-20T17:30:02,Awaser,1.1.1.1,3.14,0.61,0,2.63,91.76,17.55,Awasr,Muscat,30.8,47,3.11,0.0,0
2026-04-20T17:45:02,Awaser,1.1.1.1,4.54,0.55,0,2.93,93.92,11.62,Awasr,Muscat,30.6,49,2.94,0.0,0
2026-04-20T18:00:02,Awaser,1.1.1.1,4.36,0.45,0,2.92,95.15,21.04,Awasr,Muscat,30.5,50,2.78,0.0,0
2026-04-20T18:15:02,Awaser,1.1.1.1,4.52,0.55,0,2.98,94.87,15.59,Awasr,Muscat,30.2,52,2.61,0.0,0
2026-04-20T18:30:02,Awaser,1.1.1.1,4.54,0.33,0,2.73,93.33,19.79,Awasr,Muscat,30.0,54,2.36,0.0,0
2026-04-20T18:45:02,Awaser,1.1.1.1,4.7,0.51,0,2.74,94.74,5.33,Awasr,Muscat,29.7,57,2.19,0.0,0
