timestamp,network_type,ping_target,ping_avg_rtt_ms,ping_jitter_ms,packet_loss_percent,speedtest_ping_ms,download_mbps,upload_mbps,speedtest_server_name,speedtest_server_location,temperature_C,humidity_percent,wind_speed_mps,precipitation_mm,weather_code
2026-04-20T11:49:08,Starlink,1.1.1.1,24.98,5.31,0,25.83,246.06,4.8,Awasr,Muscat,30.2,51,2.94,0,0
2026-04-20T11:52:28,Starlink,1.1.1.1,22.26,4.69,0,26.77,273.63,35,GSL Networks,Muscat,30.2,51,2.94,0,0
2026-04-20T12:00:03,Starlink,1.1.1.1,29.3,5.61,0,26.39,313.24,27.81,OmanTel,Seeb,30.1,52,3.03,0,0
2026-04-20T12:15:03,Starlink,1.1.1.1,23.24,5.06,0,23.95,345.97,41.8,OmanTel,Seeb,30.1,52,3.14,0,0
2026-04-20T12:30:03,Starlink,1.1.1.1,22.64,4.04,0,22.82,245.03,54.07,Ooredoo Oman,Seeb,30.1,51,3.33,0,0
2026-04-20T12:45:03,Starlink,1.1.1.1,35.63,9.04,2,27.36,309.21,27.95,GSL Networks,Muscat,30.1,51,3.39,0,0
2026-04-20T13:00:03,Starlink,1.1.1.1,23.86,3,0,25.9,329.71,49.72,Ooredoo Oman,Seeb,30.1,50,3.44,0,0
2026-04-20T13:15:03,Starlink,1.1.1.1,39.34,4.98,0,31.86,294.43,17.23,Awasr,Muscat,30.1,50,3.56,0,0
2026-04-20T13:30:03,Starlink,1.1.1.1,26,7.84,0,33.42,284.39,31.83,GSL Networks,Muscat,30.1,51,3.69,0,0
2026-04-20T13:45:03,Starlink,1.1.1.1,24.78,5.06,0,21.95,128.21,24.56,OmanTel,Seeb,30,52,3.89,0,0
2026-04-20T14:00:03,Starlink,1.1.1.1,22.9,4.06,0,21.68,233.42,40.41,OmanTel,Seeb,30,50,3.97,0,0
2026-04-20T14:15:03,Starlink,1.1.1.1,26.32,6.29,0,21.36,318.25,26.24,GSL Networks,Muscat,30.4,50,4.44,0,0
2026-04-20T14:30:03,Starlink,1.1.1.1,23.16,6.31,0,48.84,305.29,18.2,OmanTel,Muscat,30.4,49,4.42,0,0
2026-04-20T14:45:02,Starlink,1.1.1.1,28.1,5.94,0,21.27,123.85,15.8,OmanTel,Seeb,30.5,48,4.39,0,0
2026-04-20T15:00:03,Starlink,1.1.1.1,22.42,5.04,0,21.32,309.4,33.3,GSL Networks,Muscat,30.6,47,4.42,0,0
2026-04-20T15:15:03,Starlink,1.1.1.1,29.12,5.98,0,26.1,126.15,18.01,OmanTel,Seeb,30.7,46,4.47,0,0
2026-04-20T15:30:03,Starlink,1.1.1.1,23.88,7.24,0,19.73,144.78,49.44,OmanTel,Seeb,30.7,45,4.42,0,0
2026-04-20T15:45:03,Starlink,1.1.1.1,25,4.63,0,32.12,266.49,39.04,GSL Networks,Muscat,30.8,45,4.47,0,0
2026-04-20T16:00:03,Starlink,1.1.1.1,24.4,6.63,0,21.85,248.26,38.52,GSL Networks,Muscat,30.9,44,4.44,0,0
2026-04-20T16:15:03,Starlink,1.1.1.1,26.04,4.67,0,22.73,78.4,54.7,OmanTel,Seeb,30.9,44,4.33,0,0
2026-04-20T16:30:03,Starlink,1.1.1.1,23.18,3.98,0,24,222.75,30.99,OMREN,Seeb,31,44,4.06,0,0
2026-04-20T16:45:03,Starlink,1.1.1.1,23.58,3.41,0,31.07,269.09,28.89,OmanTel,Muscat,31,44,3.83,0,0
2026-04-20T17:00:03,Starlink,1.1.1.1,26.74,6.2,0,24.85,243.05,6.54,OmanTel,Muscat,31.1,44,3.64,0,0
2026-04-20T17:15:04,Starlink,1.1.1.1,29.29,6.88,2,24.01,340.96,46.07,Ooredoo Oman,Muscat,31,45,3.36,0,0
2026-04-20T17:30:03,Starlink,1.1.1.1,26.54,5.33,0,29.12,329.27,29.27,OmanTel,Muscat,30.8,47,3.11,0,0
2026-04-20T17:45:03,Starlink,1.1.1.1,23.24,3.43,0,23.93,358.39,54.58,Ooredoo Oman,Seeb,30.6,49,2.94,0,0
2026-04-20T18:00:03,Starlink,1.1.1.1,23.34,5.8,0,30.4,155.18,19.82,OMREN,Seeb,30.5,50,2.78,0,0
2026-04-20T18:15:03,Starlink,1.1.1.1,20.28,2.98,0,25.2,397.12,21.69,Awasr,Muscat,30.2,52,2.61,0,0
2026-04-20T18:30:02,Starlink,1.1.1.1,25.82,5.65,0,21.7,299.52,23.8,OmanTel,Muscat,30,54,2.36,0,0
2026-04-20T18:45:02,Starlink,1.1.1.1,37.98,6.52,2,33.27,273.92,34.08,Ooredoo Oman,Seeb,29.7,57,2.19,0,0
2026-04-20T19:00:02,Starlink,1.1.1.1,29.82,4.49,0,31.32,266.96,14.81,GSL Networks,Muscat,29.5,58,2.11,0,0
2026-04-20T19:15:02,Starlink,1.1.1.1,24.38,3.76,0,31.63,150.49,44.06,OmanTel,Seeb,29.4,59,1.97,0,0
2026-04-20T19:30:02,Starlink,1.1.1.1,24.04,4.61,0,21.62,246.96,51.32,OmanTel,Muscat,29.2,61,1.92,0,0
