timestamp,network_type,ping_target,ping_avg_rtt_ms,ping_jitter_ms,packet_loss_percent,speedtest_ping_ms,download_mbps,upload_mbps,speedtest_server_name,speedtest_server_location,temperature_C,humidity_percent,wind_speed_mps,precipitation_mm,weather_code
2026-03-07T01:00:00,Starlink,1.1.1.1,26.48,3.47,0,24.07,316.58,47.9,GSL Networks,Muscat,25.4,55,2.92,0,0
2026-03-07T01:15:00,Starlink,1.1.1.1,45.34,9.47,0,23.8,242.84,28.99,OmanTel,Muscat,25.4,55,2.92,0,0
2026-03-07T01:30:00,Starlink,1.1.1.1,26.54,5,0,26.73,153.13,37.02,OmanTel,Seeb,25.4,54,2.97,0,0
2026-03-07T01:45:01,Starlink,1.1.1.1,24.72,4.1,0,25.16,194.44,38.29,OmanTel,Seeb,25.8,48,2.78,0,0
2026-03-07T02:00:00,Starlink,1.1.1.1,30.6,4.57,0,30.59,338.71,42.79,GSL Networks,Muscat,25.8,48,2.75,0,0
2026-03-07T02:15:00,Starlink,1.1.1.1,24.78,4.78,0,24.45,291.88,39,OmanTel,Muscat,25.8,48,2.72,0,0
2026-03-07T02:30:00,Starlink,1.1.1.1,23.86,3.45,0,25.15,209.63,14.6,Awasr,Muscat,25.8,49,2.81,0,0
2026-03-07T02:45:00,Starlink,1.1.1.1,23.82,2.63,0,27.93,310.97,38.63,Ooredoo Oman,Seeb,25.7,50,2.89,0,0
2026-03-07T03:00:00,Starlink,1.1.1.1,36.4,4.96,0,27.85,184.53,35.58,Awasr,Muscat,25.7,50,2.89,0,0
2026-03-07T03:15:00,Starlink,1.1.1.1,24.38,3.98,0,25.13,266.34,31.48,OmanTel,Muscat,25.6,51,2.89,0,0
2026-03-07T03:30:00,Starlink,1.1.1.1,26.02,4.8,0,23.99,264.92,10.35,Awasr,Muscat,25.6,52,3,0,0
2026-03-07T03:45:01,Starlink,1.1.1.1,27.4,5.41,0,26.66,115.96,47.98,OmanTel,Seeb,25.6,53,3.03,0,0
2026-03-07T04:00:00,Starlink,1.1.1.1,25.12,3.73,0,25.19,145.88,30.2,OmanTel,Seeb,25.6,54,3.03,0,0
2026-03-07T04:15:00,Starlink,1.1.1.1,26.52,4.73,0,25.54,229.95,32.97,GSL Networks,Muscat,25.5,55,3.03,0,0
2026-03-07T04:30:00,Starlink,1.1.1.1,24.66,2.63,0,24.56,220.39,40.18,OmanTel,Muscat,25.4,56,3.03,0,0
2026-03-07T04:45:00,Starlink,1.1.1.1,26.28,3.63,0,23.89,286.6,-7.38E+13,Awasr,Muscat,25.4,56,3.03,0,0
2026-03-07T05:00:00,Starlink,1.1.1.1,48.42,18.47,0,28.41,58.43,7.91,Awasr,Muscat,25.3,57,3.03,0,0
2026-03-07T05:15:00,Starlink,1.1.1.1,28.26,4.61,0,24.82,127.99,50.46,OmanTel,Seeb,25.3,58,3.03,0,0
2026-03-07T05:30:00,Starlink,1.1.1.1,32.06,8.51,0,31.79,238.28,30.19,OMREN,Seeb,25.2,58,3.03,0,0
2026-03-07T05:45:00,Starlink,1.1.1.1,27.18,3.92,0,25.2,267.71,28.18,OmanTel,Muscat,25.2,59,2.92,0,0
2026-03-07T06:00:00,Starlink,1.1.1.1,25.46,4.45,0,30.75,112.72,25.89,Awasr,Muscat,25.2,59,2.92,0,0
2026-03-07T06:15:00,Starlink,1.1.1.1,31.9,5.73,0,27.77,312.62,28.16,GSL Networks,Muscat,25.1,59,2.81,0,0
2026-03-07T06:30:01,Starlink,1.1.1.1,27.48,5.57,0,31.93,339.07,43.46,OmanTel,Muscat,25.1,59,2.69,0,0
2026-03-07T06:45:00,Starlink,1.1.1.1,29.68,4.59,0,25.96,321.4,6.67,Awasr,Muscat,25.1,59,2.69,0,0
2026-03-07T07:00:00,Starlink,1.1.1.1,27.42,3.92,0,24.17,194.78,38.49,OmanTel,Seeb,25,59,2.61,0,0
2026-03-07T07:15:00,Starlink,1.1.1.1,28.84,6.33,0,31.85,159.67,16.68,Awasr,Muscat,25,59,2.5,0,0
2026-03-07T07:30:00,Starlink,1.1.1.1,34.16,7.41,0,29.52,197.88,41.82,OmanTel,Seeb,25.1,59,2.5,0,0
2026-03-07T07:45:00,Starlink,1.1.1.1,26.48,4.04,0,24.02,305.98,35.32,OmanTel,Muscat,25,61,2.39,0,0
2026-03-07T08:00:00,Starlink,1.1.1.1,33.8,4.53,0,27.98,199.96,27.53,OmanTel,Muscat,25,61,2.72,0,0
2026-03-07T08:15:00,Starlink,1.1.1.1,28.02,5.04,0,24.38,292.77,36.9,OmanTel,Muscat,25,61,2.83,0,0
2026-03-07T08:30:00,Starlink,1.1.1.1,32.02,4.86,0,30.59,285.94,36.48,OMREN,Seeb,25.1,61,3.08,0,0
2026-03-07T08:45:01,Starlink,1.1.1.1,30.3,4.98,0,30.79,95.38,29.88,OMREN,Seeb,25.2,60,3.33,0,0
2026-03-07T09:00:00,Starlink,1.1.1.1,30.34,5.86,0,32.38,301.21,44.49,OmanTel,Muscat,25.2,60,3.44,0,0
2026-03-07T09:15:00,Starlink,1.1.1.1,33.34,7.22,0,55.7,307.52,20.8,OmanTel,Muscat,25.3,60,3.61,0,0
2026-03-07T09:30:00,Starlink,1.1.1.1,31.12,7.22,0,34.76,88.22,14.91,OmanTel,Seeb,25.4,60,3.72,0,0
2026-03-07T09:45:00,Starlink,1.1.1.1,28.22,4.8,0,31.88,216.24,21.19,Ooredoo Oman,Muscat,25.5,60,3.89,0,0
2026-03-07T10:00:01,Starlink,1.1.1.1,28.54,6.2,0,23.06,206.35,34.07,OmanTel,Muscat,25.6,60,3.94,0,0
2026-03-07T10:15:00,Starlink,1.1.1.1,26.22,3.49,0,36.71,374.58,33.94,GSL Networks,Muscat,25.7,59,4.03,0,0
2026-03-07T10:30:01,Starlink,1.1.1.1,31.76,7.53,0,50.61,288.15,48.08,OmanTel,Muscat,25.8,59,4.17,0,0
2026-03-07T10:45:01,Starlink,1.1.1.1,72,8.61,0,27.66,256.63,29.85,GSL Networks,Muscat,25.9,58,4.25,0,0
2026-03-07T11:00:01,Starlink,1.1.1.1,25.32,3.73,0,28.74,157.05,28.81,OmanTel,Muscat,25.9,57,4.36,0,0
2026-03-07T11:15:02,Starlink,1.1.1.1,30.64,5.12,0,29.55,121.23,43.52,OmanTel,Seeb,26,56,4.56,0,0
